player,model_A,model_B,mean_ll_A,mean_ll_B,winner,W,p_value,sig_0.05
Kevin Durant,intercept_only,binned_EB,0.693,0.6536,binned_EB,1330137.0,0.0,yes
Kevin Durant,intercept_only,logistic_RBF,0.693,0.6484,logistic_RBF,1340635.0,0.0,yes
Kevin Durant,intercept_only,gp_location,0.693,0.6456,gp_location,1305676.0,0.0,yes
Kevin Durant,intercept_only,gp_context,0.693,0.6393,gp_context,1335483.0,0.0,yes
Kevin Durant,binned_EB,logistic_RBF,0.6536,0.6484,logistic_RBF,1619581.0,0.0003,yes
Kevin Durant,binned_EB,gp_location,0.6536,0.6456,gp_location,1610509.0,0.0001,yes
Kevin Durant,binned_EB,gp_context,0.6536,0.6393,gp_context,1613220.0,0.0001,yes
Kevin Durant,logistic_RBF,gp_location,0.6484,0.6456,gp_location,1712041.0,0.1865,no
Kevin Durant,logistic_RBF,gp_context,0.6484,0.6393,gp_context,1692468.0,0.0694,no
Kevin Durant,gp_location,gp_context,0.6456,0.6393,gp_context,1672116.0,0.0198,yes
LeBron James,intercept_only,binned_EB,0.6913,0.6187,binned_EB,1627451.0,0.0,yes
LeBron James,intercept_only,logistic_RBF,0.6913,0.6141,logistic_RBF,1679179.0,0.0,yes
LeBron James,intercept_only,gp_location,0.6913,0.6114,gp_location,1693459.0,0.0,yes
LeBron James,intercept_only,gp_context,0.6913,0.6027,gp_context,1614883.0,0.0,yes
LeBron James,binned_EB,logistic_RBF,0.6187,0.6141,logistic_RBF,2072152.0,0.0,yes
LeBron James,binned_EB,gp_location,0.6187,0.6114,gp_location,2067909.0,0.0,yes
LeBron James,binned_EB,gp_context,0.6187,0.6027,gp_context,2006909.0,0.0,yes
LeBron James,logistic_RBF,gp_location,0.6141,0.6114,gp_location,2242773.0,0.5857,no
LeBron James,logistic_RBF,gp_context,0.6141,0.6027,gp_context,2108607.0,0.0008,yes
LeBron James,gp_location,gp_context,0.6114,0.6027,gp_context,2153877.0,0.0161,yes
Stephen Curry,intercept_only,binned_EB,0.6916,0.6836,binned_EB,1903545.0,0.0001,yes
Stephen Curry,intercept_only,logistic_RBF,0.6916,0.6799,logistic_RBF,1852912.0,0.0,yes
Stephen Curry,intercept_only,gp_location,0.6916,0.6746,gp_location,1823331.0,0.0,yes
Stephen Curry,intercept_only,gp_context,0.6916,0.6778,gp_context,1824135.0,0.0,yes
Stephen Curry,binned_EB,logistic_RBF,0.6836,0.6799,logistic_RBF,1946686.0,0.0035,yes
Stephen Curry,binned_EB,gp_location,0.6836,0.6746,gp_location,1884563.0,0.0,yes
Stephen Curry,binned_EB,gp_context,0.6836,0.6778,gp_context,1948559.0,0.004,yes
Stephen Curry,logistic_RBF,gp_location,0.6799,0.6746,gp_location,2042179.0,0.4331,no
Stephen Curry,logistic_RBF,gp_context,0.6799,0.6778,gp_context,2057133.0,0.6533,no
Stephen Curry,gp_location,gp_context,0.6746,0.6778,gp_location,2054351.0,0.609,no
